gc_content,Library,Station,pressure,depth,temp,sal,OXYGEN,CTDOXY,PHSPHT,SILCAT,NITRAT,NITRIT,TALK,DIC,H2O_2_D_DELTA_BOTTLE,H2O_18_D_DELTA_BOTTLE,Al_D_CONC_BOTTLE,STANDARD_DEV,Ba_D_CONC_BOTTLE,Cd_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE,Fe_D_CONC_BOTTLE_FIA,Fe_D_CONC_BOTTLE_FIA_STANDARD_DEV,Mn_D_CONC_BOTTLE,Mn_D_CONC_BOTTLE_STANDARD_DEV,Mo_D_CONC_BOTTLE,Ni_D_CONC_BOTTLE,Pb_D_CONC_BOTTLE,U_D_CONC_BOTTLE,Zn_D_CONC_BOTTLE,Y_D_CONC_BOTTLE,La_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE,Pa_231_D_CONC_BOTTLE_STANDARD_DEV,Th_230_D_CONC_BOTTLE,Th_230_D_CONC_BOTTLE_STANDARD_DEV,Th_232_D_CONC_BOTTLE,Th_232_D_CONC_BOTTLE_STANDARD_DEV,Th_234_D_CONC_BOTTLE,Th_234_D_CONC_BOTTLE_STANDARD_DEV,sampleid,mean,nnz,simp,stdevi,entropy,clusterid,Date,Longitude,Latitude
0.4279403900746389,S0017,16,80.0,79.4,18.771283333333333,36.519723175,0.0,204.19666666666666,0.03,0.6,0.5,0.13,0.0,0.0,0.0,0.0,15.4146,0.19512,0.0,0.004,0.06,0.06439,0.00195,0.72195,0.00683,0.0,2.29,21.89,0.0,0.03,135.8,12.57,0.0,0.0,0.0,0.0,0.0,0.0,32.0976,1.7561,S0017,2.384185791015621E-7,4194289,5.191419519510418E-7,2.5870775741366906E-7,0.4657777814787174,159,2010-05-20T11:48:29.000,306.70898,36.2051
0.4113933208900938,S0140,22,95.0,94.32701421800948,19.35047393364929,36.66064291469194,207.7,212.35450236966824,0.02,0.6364928909952605,0.5744075829383887,0.15393364928909953,2395.6,2097.4,0.0,0.0,26.710550236966824,0.16164881516587679,0.0,0.002856872037914692,0.14459715639810428,0.11942890995260663,0.0022147393364928907,0.9059796682464455,0.01073,0.0,2.2091943127962086,21.7,0.0,0.07109004739336493,136.1376777251185,13.714360189573458,0.0,0.0,0.0,0.0,0.0,0.0,44.609423222748816,1.9960698578199052,S0140,2.3841857910156303E-7,4194254,5.728532321987261E-7,2.823751187392758E-7,0.5466308670716451,180,2011-12-07T18:06:27.000,330.61719,19.4329
0.40211734654516446,S0187,12,10.0,9.9,23.079799999999995,36.3320002,0.0,218.19,0.03,0.48200000000000004,0.9,0.03400000000000001,2357.6200000000003,2075.53,5.83,0.8,4.76098,0.04878,37.4898,0.0036,0.11,0.07805,0.0,1.06341,0.01561,147.994,2.31,22.14,12.9688,0.74,86.09,10.09,0.0,0.0,0.0,0.0,0.0,0.0,36.6829,0.67317,S0187,2.384185791015623E-7,4194295,7.890462573935118E-7,3.6232585940798274E-7,0.6420166921412225,225,2011-03-18T14:57:16.000,327.25562,-22.4715
0.43095586190126806,S0003,10,80.0,79.2972972972973,11.02904054054054,35.249001,0.0,223.90810810810808,0.4916216216216216,2.4216216216216213,6.533783783783783,0.3183783783783784,2328.4,2127.3,0.0,0.0,2.6439,0.04878,0.0,0.0842,0.12,0.10146,0.00293,0.80976,0.00683,0.0,3.21,19.43,0.0,0.11,147.10001,26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0003,2.3841857910156242E-7,4194302,5.069165726725647E-7,2.530116865649511E-7,0.4426182828374259," 39",2010-05-10T10:40:29.000,317.5531,49.722
0.40493264025020803,S0105,14,40.0,39.66666666666667,17.521,36.463334333333336,0.0,211.73333333333335,0.07,0.7,1.3,0.24,2388.9,2100.2,0.0,0.0,14.6439,0.21463,0.0,0.0056,0.05,0.06439,9.8E-4,0.82927,0.00585,0.0,2.16,22.31,0.0,0.04,128.64,13.37,0.0,0.0,0.0,0.0,0.0,0.0,32.7805,1.65854,S0105,2.3841857910156287E-7,4194300,8.147301244317224E-7,3.706797223823141E-7,0.6392091131726758,101,2011-11-26T20:45:20.000,310.3671,27.583
0.4543834577597459,S0157,11,10.0,9.9,21.565966666666668,36.19909966666667,173.6,222.43333333333334,0.027,0.24333333333333332,0.38000000000000006,0.04000000000000001,2386.3,2053.7400000000002,6.96,0.15,6.136585,0.11219499999999999,40.8995,0.006549999999999999,0.145,0.176585,0.0039,0.9853649999999999,0.014635,147.505,2.5199999999999996,20.255,13.3824,0.13999999999999999,115.255,15.32,0.0,0.0,0.0,0.0,0.0,0.0,37.1024,0.76098,S0157,2.384185791015615E-7,4194303,9.747595582934673E-7,4.1899570200278034E-7,0.3853173771304732," 49",2010-05-11T15:01:30.000,320.60049,47.8
0.43120575062131483,S0236,7,250.0,248.00809716599193,14.33508097165992,35.511917004048584,195.8,221.2914979757085,0.5464372469635629,2.242914979757085,6.773562753036437,0.019898785425101217,2336.976923076923,2108.9696356275304,5.564412955465587,1.423157894736842,6.242714615384616,0.04818748987854251,44.52446072874494,0.05154696356275304,2.376315789473684,2.4517836032388667,0.1053451012145749,0.35841259109311746,0.0038803643724696353,143.69138866396762,3.151902834008097,14.298785425101215,12.751525101214577,0.1268421052631579,106.39862348178137,14.170202429149798,1.04068,0.14634,5.02439,0.09756,0.38,0.00342,42.12423319838057,0.828084979757085,S0236,2.3841857910156255E-7,4194301,5.016597446751516E-7,2.50522631492786E-7,0.4136764612432806," 48",2010-10-24T16:58:17.000,338.00201,24.0022
0.425088437585517,S0249,17,180.0,178.8,14.939325581395348,35.83619540930232,0.0,142.8209302325581,0.9017209302325584,5.196465116279071,14.687162790697679,0.033488372093023244,0.0,0.0,0.0,0.0,26.9366,0.14634,0.0,0.0236,0.18,0.1639,0.00488,0.50732,0.00683,0.0,2.17,21.47,0.0,0.08,135.11,15.5,0.0,0.0,0.0,0.0,0.0,0.0,41.1707,1.7561,S0249,2.384185791015624E-7,4194303,5.051169416227292E-7,2.5216234105933966E-7,0.4129659137203596,186,2010-11-02T14:55:09.005,335.5022,17.4021
0.4155750377983008,S0239,10,85.0,84.25225225225225,10.946382882882883,35.249001,0.0,227.37657657657655,0.5186486486486486,2.781981981981982,7.096846846846846,0.2913513513513514,2328.4,2127.3,0.0,0.0,2.6439,0.04878,0.0,0.0842,0.12,0.10146,0.00293,0.80976,0.00683,0.0,3.21,19.43,0.0,0.11,147.10001,26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0239,2.3841857910156165E-7,4194303,6.262577459394926E-7,3.0408563197068255E-7,0.5324691468741207," 95",2010-10-30T08:16:28.000,339.17889,17.3538
0.36840142426873007,S0159,11,75.0,74.44444444444446,18.099777777777803,36.36411122222222,0.0,216.66666666666669,0.18777777777777693,1.6199999999999943,4.9,0.22555555555555423,2406.3,2086.5,0.0,0.0,19.4049,0.14634,0.0,0.0421,0.09,0.07415,0.00293,0.82927,0.00488,0.0,2.65,21.61,0.0,0.05,143.62,18.17,0.0,0.0,0.0,0.0,0.0,0.0,39.122,1.95122,S0159,2.3841857910156247E-7,4194303,9.292243833753798E-7,4.058336654410462E-7,0.8414098897327413,267,2010-05-11T15:01:30.000,320.60049,47.8
